primate_species,treatment,plant_genus,germination,latency
Woolly,Feces,Couma,0.7,NA
Woolly,No_Pulp,Couma,0.9,NA
Woolly,Pulp,Couma,1,NA
Woolly,Feces,Sarcualus,0.95,NA
Woolly,Feces,Sarcualus,1,NA
Woolly,No_Pulp,Sarcualus,0.95,NA
Woolly,No_Pulp,Sarcualus,0.4,NA
Woolly,Pulp,Sarcualus,0.95,NA
Woolly,Pulp,Sarcualus,1,NA
Howler,Feces,Couma,0.95,17.51724138
Howler,Feces,Couma,0.6,NA
Howler,Feces,Couma,0.53846154,NA
Howler,No_Pulp,Couma,0.95,16.58064516
Howler,No_Pulp,Couma,1,NA
Howler,No_Pulp,Couma,0.466666667,NA
Howler,Pulp,Couma,0.9,24.28
Howler,Pulp,Couma,0.8,NA
Howler,Pulp,Couma,0.2,NA
Howler,Feces,Dendropanax,0.35,NA
Howler,No_Pulp,Dendropanax,0,NA
Howler,Pulp,Dendropanax,0.15,NA
Howler,Feces,Enterolobium,0.1,39
Howler,No_Pulp,Enterolobium,0.1,9
Howler,Pulp,Enterolobium,0.2,39
Howler,Feces,Erythroxylum,0.266666667,NA
Howler,No_Pulp,Erythroxylum,0,NA
Howler,Pulp,Erythroxylum,0.2,NA
Howler,Feces,Protium,0.933333333,13.7142857
Howler,No_Pulp,Protium,0.933333333,13.7857143
Howler,Pulp,Protium,0.933333333,16.5
Howler,Feces,Pseudolmedia,0.75,64.46666667
Howler,No_Pulp,Pseudolmedia,0.85,74.76470588
Howler,Pulp,Pseudolmedia,0.8,67.3125
Howler,Feces,Virola,0,NA
Howler,No_Pulp,Virola,0.2,NA
Howler,Pulp,Virola,0.4,NA
Capuchin,Feces,Anthurium,0.733333333,8.636363636
Capuchin,No_Pulp,Anthurium,1,15.86666667
Capuchin,Pulp,Anthurium,0.4,16.33333333
Capuchin,Feces,Brosiumum,0.2,NA
Capuchin,No_Pulp,Brosiumum,0.2,NA
Capuchin,Pulp,Brosiumum,0,NA
Capuchin,Feces,Duroia,0.35,17.25
Capuchin,Feces,Duroia,0.8,NA
Capuchin,No_Pulp,Duroia,0.85,19.2
Capuchin,No_Pulp,Duroia,1,NA
Capuchin,Pulp,Duroia,0.25,14.8
Capuchin,Pulp,Duroia,1,NA
Capuchin,Feces,Myrcia,0.85,6.529411765
Capuchin,No_Pulp,Myrcia,0.9,6.833333333
Capuchin,Pulp,Myrcia,0.6,8.166666667
Capuchin,Feces,Protium,0.4,NA
Capuchin,No_Pulp,Protium,0.4,NA
Capuchin,Pulp,Protium,0.4,NA
Capuchin,Feces,Sarcaulus,0.8,NA
Capuchin,No_Pulp,Sarcaulus,0.6,NA
Capuchin,Pulp,Sarcaulus,0.8,NA
Squirrel,Feces,Brosimum,0.2,24
Squirrel,No_Pulp,Brosimum,0.2,16.8
Squirrel,Pulp,Brosimum,0,47
Squirrel,Feces,Duroia,0.7,33.14285714
Squirrel,No_Pulp,Duroia,1,13
Squirrel,Pulp,Duroia,0.8,19.25
Squirrel,Feces,Erythroxylum,0.8,10.25
Squirrel,No_Pulp,Erythroxylum,0.4,6.833333333
Squirrel,Pulp,Erythroxylum,0.6,25
Squirrel,Feces,Myrcia,0.5,NA
Squirrel,No_Pulp,Myrcia,0.9,NA
Squirrel,Pulp,Myrcia,0.6,NA
