environment,primates,woolly,howler,capuchin,squirrel
Ouratea,Myrcia,Sarcaulus,Dendropanax,Cecropia,Myrcia
Rudgea,Duroia,Protium,Pseudolmedia,Souroubea,Duroia
Attalea,Cecropia,Couma,Cecropia,Myrcia,Cecropia
Anthurium,19-Unknown_2_Sc_1_2_24,Erythroxylum,8-Unknown_1_Sa_3_5,Anthurium,19-Unknown_2_Sc_1_2_24
Posoqueria,Erythroxylum,Guatteria,Couma,Duroia,Erythroxylum
Brosimum,Protium,Licania,Myrcia,Erythroxylum,Protium
Pseudolmedia,Brosimum,Hymanaea,Virola,Protium,Brosimum
Guatteria,Anthurium,Clarisia,Protium,Sarcaulus,Anthurium
14-Unknown_1_4_4_24,Pseudolmedia,Pouteria,Trattinnickia,Pseudolmedia,Pseudolmedia
15-Unknown_1_5_4_24,Maripa,Virola,Erythroxylum,Brosimum,Maripa
20-Unknown_1_8_3_24,Inga,8-Unknown_1_Sa_3_5,Enterolobium,Trattinnickia,Inga
4-Unknown_4_6_2,3-Unknown_1_Sc_1_4,Orthomene,Cayaponia,Miconia,3-Unknown_1_Sc_1_4
Malouetia,Phyllanthus,6-Unknown_1_L_2_1,21-Unknown_1_A_2_3_24,Dendropanax,Phyllanthus
Terminalia,Dendropanax,Wittmackanthus,Guatteria,Maripa,Dendropanax
Vochysia,Couma,Miconia,Licania,8-Unknown_1_Sa_3_5,Couma
Orthomene,21-Unknown_1_A_2_3_24,Inga,Maquira,Maquira,21-Unknown_1_A_2_3_24
Eumachia,18-Unknown_1_Sc_1_2_24,Tapirira,22-Unknown_2_A_2_3_24,Wittmackanthus,18-Unknown_1_Sc_1_2_24
Virola,Souroubea,Anthurium,Aspidosperma,13-Unknown_1_Sa_3_3,
10-Unknown_3_15_2,Sarcaulus,Maripa,Brosimum,17-Unknown_2_Sa_1_4_24,
Cayaponia,Trattinnickia,11-Unknown_1_L_3_1,Pouteria,2-Unknown_3_Sa_1_3,
Cordia,Miconia,7-Unknown_3_L_2_1,6-Unknown_1_L_2_1,23-Unknown_1_Sa_2_3_24,
9-Unknown_2_15_1,8-Unknown_1_Sa_3_5,1-Unknown_1_L_1_2,16-Unknown_2_A_1_5_24,24-Unknown_1_Sa_3_3_24,
Davilla,Maquira,12-Unknown_1_L_3_2,,5-Unknown_1_Sa_3_1,
Pera,Wittmackanthus,Dialium,,,
Sterculia,13-Unknown_1_Sa_3_3,Pseudolmedia,,,
Monstera,17-Unknown_2_Sa_1_4_24,Trattinnickia,,,
Sarcaulus,2-Unknown_3_Sa_1_3,,,,
Vismia,23-Unknown_1_Sa_2_3_24,,,,
Oenocarpus,24-Unknown_1_Sa_3_3_24,,,,
Socratea,5-Unknown_1_Sa_3_1,,,,
Maprounea,Virola,,,,
Mauritia,Enterolobium,,,,
Iryanthera,Cayaponia,,,,
Stylogyne,Guatteria,,,,
Phyllanthus,Licania,,,,
Erythroxylum,22-Unknown_2_A_2_3_24,,,,
Cordiera,Aspidosperma,,,,
Matayba,Pouteria,,,,
Myrcia,6-Unknown_1_L_2_1,,,,
Couma,16-Unknown_2_A_1_5_24,,,,
Lindackeria,Hymanaea,,,,
Xylopia,Clarisia,,,,
Euterpe,Orthomene,,,,
Trattinnickia,Tapirira,,,,
Dendropanax,11-Unknown_1_L_3_1,,,,
Duroia,7-Unknown_3_L_2_1,,,,
Protium,1-Unknown_1_L_1_2,,,,
Inga,12-Unknown_1_L_3_2,,,,
Souroubea,Dialium,,,,
Geonoma,,,,,
Tapirira,,,,,
Siparuna,,,,,
Clusia,,,,,
Miconia,,,,,
