year,sampling_period,seed_source,Anthurium,Aspidosperma,Brosimum,Cayaponia,Cecropia,Clarisia,Couma,Dendropanax,Dialium,Duroia,Enterolobium,Erythroxylum,Guatteria,Hymenaea,Inga,Licania,Maquira,Maripa,Miconia,Myrcia,Orthomene,Phyllanthus,Pouteria,Protium,Pseudomedia,Sarcaulus,Souroubea,Tapirira,Trattinnickia,Unknown sp1,Unknown sp2,Unknown sp5,Unknown sp6,Unknown sp8,Unknown sp9,Unknown sp11,Unknown sp12,Unknown sp13,Unknown sp16,Unknown sp17,Unknown sp18,Unknown sp19,Unknown sp21,Unknown sp22,Unknown sp23,Unknown sp24,Virola,Wittmackanthus
2023,1,woolly,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2023,1,howler,0,0,0,1,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2023,1,capuchin,38,0,0,0,34,0,0,2,0,34,0,7,0,0,0,0,0,0,0,0,0,0,0,10,4,1,117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,environment,1,0,0,1,1,0,1,1900,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2282.507182,125,1,4910.71429,125,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,2,woolly,4,0,0,0,0,0,221,0,0,0,0,0,16,0,5,27,0,1,0,0,8,0,17,234,1,82,0,1,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
2023,2,howler,0,0,0,0,0,0,9,89,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
2023,2,capuchin,12,0,0,0,0,0,0,2,0,1,0,10,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,2,environment,1,0,0,0,0,0,1,1,0,1,0,1,1,0,6039,1,1,1,0,0,1,0,1,1451.637066,1,375,0,1,3250,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,3,woolly,0,0,0,0,0,20,5,0,0,0,0,35,0,25,0,3,0,1,6,0,0,0,0,0,0,308,0,3,1,0,0,0,2,10,0,2,1,0,0,0,0,0,0,0,0,0,0,6
2023,3,howler,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,48,0,0,1,0,0,0,0,0,1,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
